@relation finalcensus_1

@attribute DIVISION numeric
@attribute ACCESS numeric
@attribute ACR numeric
@attribute BDSP numeric
@attribute ELEP numeric
@attribute GASP numeric
@attribute RNTPRange {low,medium,high}
@attribute FINCP numeric
@attribute ST numeric

@data
5,1,0,3,1,0,medium,2,40
3,1,1,3,0,0,low,1,29
5,1,1,2,2,0,low,2,40
7,1,1,3,0,0,medium,2,37
9,1,0,2,0,0,medium,1,5
9,2,1,2,0,0,low,1,5
3,3,1,3,1,0,low,1,29
5,1,0,2,0,0,low,1,10
3,1,1,3,2,0,low,1,15
7,1,1,2,0,0,low,1,19
1,3,1,2,0,0,low,1,7
1,1,0,3,0,0,medium,1,7
3,3,2,3,0,0,low,1,23
5,1,2,4,0,0,low,1,34
9,1,1,3,0,0,low,1,41
9,1,1,4,0,0,high,1,5
7,1,0,2,1,0,low,2,19
3,1,1,3,0,0,low,1,15
9,1,1,5,0,0,medium,2,5
7,2,0,1,0,0,low,1,37
9,1,0,2,0,0,low,1,5
5,3,0,3,1,0,medium,1,40
3,1,0,3,1,1,medium,1,14
9,1,1,2,1,0,low,1,5
7,1,1,3,0,0,medium,1,37
2,1,0,4,0,1,low,1,32
6,1,0,2,0,0,low,1,36
5,2,1,4,0,0,low,1,11
3,2,1,3,0,0,low,2,14
9,1,1,2,0,0,low,1,5
8,1,0,1,0,0,high,1,38
9,1,0,1,0,0,low,1,5
2,3,1,3,0,0,low,2,32
9,3,1,1,0,0,low,2,5
9,1,0,2,1,0,low,2,31
3,1,1,3,1,0,low,1,29
9,1,2,0,2,1,medium,2,41
9,1,1,2,0,0,medium,1,5
9,1,1,3,0,0,medium,1,5
1,1,0,2,0,0,low,1,7
9,1,1,2,1,0,low,1,5
5,1,1,3,0,0,low,1,10
6,1,1,4,0,0,low,1,25
9,1,1,3,0,0,medium,1,5
9,1,1,2,0,0,low,1,41
5,1,0,2,1,0,low,2,10
6,1,1,3,1,0,low,1,1
7,2,0,1,1,0,low,2,4
9,1,1,3,1,0,low,1,5
7,3,1,2,0,0,low,1,37
9,1,0,2,1,0,low,1,5
9,1,1,4,1,0,medium,1,5
8,1,1,4,0,0,low,1,3
6,1,0,2,0,0,low,1,1
5,1,0,2,0,0,low,1,10
2,3,0,2,2,0,low,2,32
8,3,0,3,1,0,low,1,38
1,1,0,4,0,0,medium,2,22
3,1,2,4,0,0,low,2,43
5,1,1,3,1,0,medium,1,40
7,3,0,3,0,0,low,1,19
2,3,0,2,1,0,low,1,32
9,3,1,3,1,0,low,1,5
9,1,0,2,0,0,medium,1,5
3,1,0,2,0,1,low,1,29
9,1,2,2,1,0,medium,1,5
7,3,0,1,0,0,low,1,37
5,1,1,3,0,0,low,1,42
9,2,0,2,0,0,low,2,41
8,2,0,1,0,0,low,1,3
5,3,3,3,1,0,low,2,11
5,1,0,3,0,0,low,1,40
5,1,1,4,1,0,low,1,11
3,1,1,3,0,0,medium,1,29
8,3,0,3,2,0,low,1,3
9,1,0,2,0,0,medium,1,5
5,1,1,4,0,0,low,1,40
5,1,1,3,1,0,medium,1,40
5,2,0,2,1,0,low,2,40
9,1,1,2,1,0,low,1,41
9,1,1,2,1,0,medium,1,41
5,1,1,3,0,0,low,2,40
6,1,0,2,0,0,low,1,1
8,1,1,5,0,0,medium,1,38
9,1,1,1,0,0,low,1,5
7,3,0,1,0,0,low,2,37
9,3,0,2,0,0,low,1,5
8,1,2,3,0,0,low,1,6
8,1,0,2,1,0,low,1,13
5,3,0,0,0,0,low,2,42
9,1,0,3,1,0,low,2,5
5,3,1,2,0,0,low,1,11
5,1,1,3,0,0,medium,1,40
7,1,0,2,0,0,low,1,4
4,2,1,2,0,0,low,1,16
9,1,0,1,0,0,low,1,5
3,1,1,2,0,0,low,1,29
3,3,1,3,0,0,low,2,23
7,2,0,1,0,0,low,1,37
5,3,1,2,0,0,low,1,11
9,3,1,3,1,1,low,1,5
5,1,1,4,0,0,medium,1,40
5,1,0,2,1,0,low,2,34
1,1,0,3,0,0,medium,1,7
7,3,1,3,1,0,low,1,30
7,1,1,5,1,0,low,1,37
1,1,0,2,0,0,medium,1,22
2,1,0,3,2,0,medium,1,26
5,1,0,3,0,0,low,1,10
3,3,2,4,0,0,low,1,15
7,1,1,3,0,0,medium,2,37
9,1,0,2,0,0,low,1,12
9,3,0,1,0,0,low,1,5
9,1,0,1,1,0,low,1,5
6,1,0,2,0,0,low,2,1
9,1,1,3,0,0,medium,1,5
6,1,2,4,0,0,low,2,25
9,1,0,2,0,0,medium,1,2
8,1,1,3,0,0,medium,1,3
9,2,0,2,1,0,low,1,5
5,3,0,1,0,0,low,1,40
9,1,1,2,0,1,medium,2,5
7,2,3,3,0,0,low,1,37
9,1,1,2,1,0,low,1,5
7,1,0,1,0,0,low,1,37
5,1,1,3,0,0,low,1,27
5,1,1,3,0,1,low,2,10
9,3,1,1,0,0,low,1,5
5,1,0,2,1,0,medium,1,10
9,1,1,4,1,0,low,1,31
5,3,0,2,0,0,low,1,27
5,3,1,2,2,0,low,2,11
5,1,1,4,0,0,medium,1,10
7,1,0,1,0,0,low,2,37
9,1,0,1,0,0,medium,1,5
9,3,0,1,1,0,low,1,5
9,1,1,4,1,0,medium,1,41
8,1,0,3,0,0,low,2,38
3,1,0,1,0,0,low,1,14
3,3,1,3,1,0,low,1,14
9,1,0,2,0,0,medium,1,5
2,1,0,3,0,0,low,1,32
3,1,1,2,1,0,low,1,23
5,1,0,2,1,0,low,1,10
9,1,1,2,0,1,low,1,5
9,1,0,1,0,0,low,1,5
9,3,1,1,0,0,low,1,5
2,1,1,2,0,0,low,2,32
5,1,1,3,1,0,low,1,27
9,1,1,3,0,0,low,1,5
7,1,0,2,1,0,low,2,37
7,1,0,2,0,0,low,1,37
5,1,1,4,0,1,medium,1,42
9,1,0,2,0,0,medium,1,5
1,1,1,4,0,0,high,1,7
7,3,1,3,0,0,low,2,37
4,1,1,3,0,0,low,1,17
3,3,1,2,1,0,low,2,29
5,1,1,3,2,0,low,1,27
1,1,0,1,1,1,medium,2,7
2,3,0,2,0,0,low,1,32
5,1,1,3,0,0,medium,1,10
3,1,1,3,0,0,low,2,14
9,3,1,2,0,0,medium,2,5
2,1,2,3,0,0,low,1,32
9,2,1,3,1,0,low,1,31
1,1,1,2,2,0,medium,1,22
9,1,3,3,0,0,low,2,5
9,1,1,10,0,0,high,1,5
9,2,1,4,0,1,high,1,5
3,1,0,1,1,0,medium,1,14
9,1,0,2,1,0,medium,1,5
7,1,1,2,1,0,low,2,30
9,1,0,2,1,0,low,2,41
3,1,1,4,0,0,medium,1,29
7,3,0,2,0,0,low,2,30
9,3,0,1,0,0,medium,1,5
3,3,0,2,0,0,low,2,14
5,3,1,2,0,0,low,1,42
9,1,0,2,0,0,medium,1,5
1,1,0,1,0,0,low,1,22
9,1,0,2,1,0,low,2,5
9,1,1,3,2,1,high,1,5
9,2,0,2,0,0,low,1,5
8,1,0,2,1,1,low,1,6
5,2,0,3,1,0,low,1,10
6,1,0,1,0,0,low,1,36
7,1,0,2,0,0,low,1,37
9,1,1,4,0,0,medium,1,5
5,1,1,3,1,0,low,1,10
9,1,0,3,1,0,medium,2,5
3,1,0,2,1,0,medium,1,14
1,1,0,3,0,0,low,1,7
7,1,0,2,0,0,low,1,37
3,1,1,3,0,0,low,1,29
5,1,0,3,0,0,low,1,10
5,3,0,2,0,0,low,1,10
9,1,1,2,1,0,medium,2,5
9,1,1,3,1,0,high,1,5
1,1,0,3,0,0,low,1,33
5,1,0,2,1,0,low,1,10
9,3,0,2,1,0,low,2,5
3,3,0,2,0,0,low,1,14
5,2,1,4,0,0,low,1,11
7,1,1,3,0,0,low,1,4
3,1,1,5,0,0,low,1,23
6,1,1,3,1,0,low,2,1
5,1,1,2,0,0,low,1,11
3,1,0,1,0,0,low,1,14
5,1,1,4,0,0,low,2,10
3,1,0,2,0,0,medium,1,14
8,1,0,2,1,0,low,1,3
5,1,1,4,1,0,low,1,40
8,1,0,3,1,0,low,2,3
3,1,0,3,0,0,low,1,15
7,2,0,2,0,0,low,1,37
8,1,0,2,0,0,low,1,38
8,1,1,3,1,0,low,1,3
6,1,0,2,0,0,low,2,18
9,1,1,3,1,0,high,1,5
7,3,0,1,0,0,low,1,37
7,1,1,4,0,0,low,1,37
5,1,1,3,1,0,low,1,40
9,1,0,4,1,0,low,1,5
5,1,1,2,0,0,low,2,34
4,3,2,3,1,0,low,2,17
5,1,0,2,1,0,low,1,40
5,1,1,3,0,0,low,1,27
1,1,2,2,0,0,low,1,22
9,1,1,2,0,0,medium,1,31
9,3,0,1,1,0,low,1,5
7,1,0,1,0,0,low,1,37
9,3,1,10,0,0,medium,1,5
1,1,0,3,0,0,low,1,22
6,3,1,3,1,0,low,1,25
5,3,0,1,0,0,low,2,40
7,1,0,2,1,0,low,1,37
2,1,1,4,1,0,medium,1,32
4,1,0,2,1,0,low,1,24
9,1,0,2,0,0,medium,2,5
2,3,0,3,0,0,low,1,26
9,1,1,0,0,0,low,1,5
7,2,2,2,0,0,low,2,30
4,3,1,2,0,0,low,2,17
3,1,2,3,1,0,low,1,29
9,1,1,4,0,0,medium,1,5
5,1,1,3,0,0,low,2,40
7,1,1,3,1,0,medium,1,37
3,1,0,2,0,0,low,2,43
9,1,1,2,0,0,medium,2,5
8,1,0,2,0,0,low,1,3
5,1,1,2,0,0,low,1,10
9,3,0,0,0,0,low,1,5
9,1,1,3,1,0,medium,1,5
5,1,0,2,0,0,medium,1,40
8,3,0,2,0,0,low,1,3
6,1,1,2,0,1,low,1,18
8,1,0,2,0,0,low,1,3
5,1,0,2,0,0,low,1,10
9,1,0,2,0,0,medium,2,5
9,1,1,4,0,0,high,2,5
9,1,1,3,0,0,medium,2,41
2,3,2,3,0,0,low,1,32
9,1,1,3,1,0,high,2,5
8,1,1,4,1,0,low,1,3
5,1,1,3,0,0,low,1,8
9,3,1,4,0,0,low,2,5
9,1,0,3,0,0,low,1,5
9,1,0,1,1,0,high,1,5
8,3,1,1,1,0,medium,2,3
8,3,0,2,0,0,low,1,3
6,3,1,3,1,0,low,1,36
5,1,1,3,0,1,low,1,10
5,3,1,2,0,0,low,1,10
5,1,1,4,1,0,low,1,10
7,3,1,3,0,0,low,1,37
8,1,0,2,1,1,low,1,6
7,3,0,1,0,0,low,1,37
3,2,0,3,1,0,low,2,14
9,1,1,4,0,0,medium,1,5
6,1,0,2,1,0,low,1,1
9,3,0,2,1,0,low,1,5
5,1,0,2,0,0,low,1,27
7,1,2,2,0,0,low,1,37
9,1,1,2,1,0,medium,2,5
9,2,1,2,1,0,low,1,5
9,1,2,2,1,0,medium,1,5
7,1,0,1,0,0,low,1,37
5,1,1,3,1,0,low,1,10
5,1,3,3,0,0,low,2,40
5,1,3,2,0,0,low,1,27
8,1,1,2,0,0,low,1,3
3,3,1,3,0,0,low,1,14
2,1,2,4,1,0,low,2,32
3,3,0,1,1,0,low,2,15
9,3,0,1,0,0,low,1,5
4,1,0,2,1,0,low,2,16
9,1,1,3,1,0,low,1,31
5,1,1,1,0,0,low,2,10
3,1,0,2,0,0,medium,1,14
2,1,2,2,0,0,low,1,32
7,1,1,3,1,0,low,1,37
5,3,1,2,0,0,low,1,27
4,3,1,3,0,0,low,1,24
6,2,0,3,2,0,low,1,18
4,1,0,1,1,0,low,2,24
5,1,0,1,0,0,low,1,10
9,1,1,1,0,0,medium,1,5
5,1,1,3,0,0,low,1,11
7,2,0,1,0,0,low,1,37
9,1,0,2,1,0,low,1,5
5,1,1,1,0,0,medium,1,9
9,1,1,3,1,0,low,1,5
3,3,1,3,0,0,low,1,43
9,1,0,2,1,0,low,1,31
5,1,1,2,1,0,medium,1,11
3,1,0,2,0,0,medium,1,23
7,3,0,1,0,0,low,1,37
9,3,0,0,0,0,low,1,5
7,3,1,3,0,0,low,1,37
7,3,0,2,0,0,low,1,37
9,1,0,1,1,0,medium,2,5
8,1,0,1,0,0,low,1,3
3,1,0,2,0,0,low,1,14
6,3,0,1,0,0,low,1,18
7,1,1,3,1,0,low,1,37
6,1,2,2,0,0,low,1,25
3,1,1,2,1,0,low,2,14
9,1,1,3,0,0,medium,1,5
7,3,1,4,1,0,low,2,30
7,3,0,3,0,0,low,2,37
5,1,1,3,2,0,low,1,27
1,1,0,1,0,0,low,1,7
9,1,1,3,0,0,high,1,5
